"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","165/4408","402/18860",0.41044776119403,1.75613538478208,8.46323528153875,1.42383653122054e-15,8.99152769465770e-12,7.53134586250864e-12,"ADAM17/ARG1/ARID5A/ATAD5/B2M/BCL10/BRD2/BRD4/C1S/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD226/CD274/CD28/CD46/CD55/CD69/CD70/CD81/CD8A/CLEC7A/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL13/CYRIB/DENND1B/DUSP22/ENTPD7/ERCC1/EXOSC3/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GNL1/HLA-DRA/HLA-DRB1/HLA-F/HLX/HRAS/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL1B/IL2RB/IL6ST/IL7R/IRF4/IRF7/JAK2/JUNB/KLHL6/KMT5C/LEF1/LGALS1/MALT1/MAP3K7/MAPK3/MASP2/MEF2C/MICA/MTOR/MYO1G/NBN/NCKAP1L/NFKB2/NFKBIZ/PARP3/PKN1/PRKCQ/PTPRC/RAB27A/RC3H1/RC3H2/RFTN1/RIPK2/RNF168/RORA/SCART1/SEMA4A/SHLD2/SLAMF1/SLAMF6/SLC15A4/SMAD7/STAT4/STAT6/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR4/TLR8/TNFSF13/TNFSF13B/TNFSF4/TRAF2/TRAF6/TRPM4/TYK2/UFL1/ULBP2/UNC93B1/USP5/ZBTB7B",165
"GO:0030098","lymphocyte differentiation","176/4408","441/18860",0.399092970521542,1.70755295463618,8.30350337217339,3.79849843740366e-15,1.19937588161021e-11,1.00460287620807e-11,"ADAM17/AP3B1/AP3D1/ARID1B/ARID2/ARMC5/ATF2/ATG5/ATM/AXL/B2M/BAD/BAX/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD19/CD2/CD28/CD3D/CD46/CD69/CD79A/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CR2/CTLA4/CTSL/CYLD/DCLRE1C/DDRGK1/DLL1/DNAJB9/DOCK10/DOCK11/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/EZH2/FBXO7/FCRL3/FLT3LG/FNIP1/FOSL2/FOXP1/FZD5/FZD7/FZD8/GATA3/GPR183/GPR65/GPR89A/GPR89B/GPS2/HDAC5/HHEX/HLA-DRA/HLA-DRB1/HLX/ICOS/ICOSLG/ID2/IFNG/IGHM/IKZF1/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL6ST/IL7/IL7R/IRF1/IRF4/ITGA4/ITK/ITPKB/JAG2/JAK2/JUNB/KAT2A/KDELR1/LAPTM5/LEF1/LFNG/LGALS1/LGALS8/LRRC8A/MALT1/MTOR/NCAPH2/NCKAP1L/NFIL3/NFKBIZ/PAX5/PBRM1/PGLYRP3/PIK3R2/PIK3R3/PLCL2/POLM/PPP2R3C/PRDM1/PRDX2/PRKDC/PTK2B/PTPN2/PTPRC/PTPRJ/RARA/RASGRP1/RC3H1/RC3H2/RHOH/RIPK2/RNF41/RORA/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF1/SLAMF6/SLC39A7/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS1/SOS2/SOX12/SOX13/SP3/SPI1/SRF/ST3GAL1/STAT4/STAT6/STK11/SYK/TBK1/TBX21/TCF3/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF13B/TNFSF4/TOP2B/TOX/TPD52/VNN1/XBP1/ZAP70/ZBTB7A/ZBTB7B/ZEB1/ZFPM1",176
"GO:0050851","antigen receptor-mediated signaling pathway","100/4408","215/18860",0.465116279069767,1.99003925209978,8.06318447983678,6.71869335725045e-14,1.13380649710355e-10,9.49681651530668e-11,"BANK1/BAX/BCAR1/BCL10/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD53/CD79A/CD81/CD8A/CTLA4/CYLD/DENND1B/DUSP22/EIF2B4/ELF1/FCMR/FCRL3/FOSL2/FOXP1/FYB1/FYN/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/ITK/KCNN4/KLHL6/LAPTM5/LCP2/LPXN/LYN/MALT1/MAP3K7/MAPK1/MEF2C/MNDA/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/PDE4B/PDE4D/PHPT1/PIK3CA/PLCL2/PRKCB/PSEN1/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RC3H2/RELA/RFTN1/RIPK2/RNF31/SHB/SIVA1/SKAP1/SOS1/STAP1/STK11/SYK/THEMIS/TRAC/TRAF6/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TXK/UBR2/ZAP70",100
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","155/4408","385/18860",0.402597402597403,1.72254696301883,7.91079932694009,7.18167219067967e-14,1.13380649710355e-10,9.49681651530668e-11,"AKT1/BAG6/BANK1/BAX/BCAR1/BCL10/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD53/CD79A/CD81/CD8A/CHUK/CLEC12B/CLEC4D/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/DUSP22/ECSIT/EIF2B4/ELF1/F2RL1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FCRL3/FER/FOSL2/FOXP1/FPR1/FPR2/FPR3/FYB1/FYN/GATA3/GBP1/GCSAM/GDI1/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP2K4/MAP2K7/MAP3K1/MAP3K7/MAPK1/MAPK8/MEF2C/MFHAS1/MNDA/MYO1G/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PIK3CA/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PRKCQ/PSEN1/PTPN2/PTPRC/PTPRJ/RAB13/RAB29/RBCK1/RC3H1/RC3H2/RELA/RFTN1/RIPK2/RNF31/SHB/SIVA1/SKAP1/SOS1/SQSTM1/SRC/STAP1/STK11/SYK/TAX1BP1/TBK1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAF6/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70",155
"GO:0002429","immune response-activating cell surface receptor signaling pathway","144/4408","353/18860",0.407932011331445,1.74537153668581,7.80743345646704,1.63881700894798e-13,2.06982588230129e-10,1.73369588841339e-10,"AKT1/BAG6/BANK1/BAX/BCAR1/BCL10/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD53/CD79A/CD81/CD8A/CHUK/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/DUSP22/ECSIT/EIF2B4/ELF1/F2RL1/FCER2/FCMR/FCRL3/FOSL2/FOXP1/FPR1/FPR2/FPR3/FYB1/FYN/GATA3/GBP1/GCSAM/GDI1/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP3K7/MAPK1/MEF2C/MFHAS1/MNDA/MYO1G/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PIK3CA/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PSEN1/PTPN2/PTPRC/PTPRJ/RAB13/RAB29/RBCK1/RC3H1/RC3H2/RELA/RFTN1/RIPK2/RNF31/SHB/SIVA1/SKAP1/SOS1/SQSTM1/SRC/STAP1/STK11/SYK/TAX1BP1/TBK1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAF6/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70",144
"GO:0016064","immunoglobulin mediated immune response","93/4408","203/18860",0.458128078817734,1.96013964757315,7.59587245166894,1.49666826309189e-12,1.36589900193637e-09,1.14408342454978e-09,"ATAD5/BCL10/C1S/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CD81/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/EXOSC3/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL2RB/IRF7/KMT5C/MASP2/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SHLD2/SLC15A4/STAT6/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4",93
"GO:0019724","B cell mediated immunity","94/4408","206/18860",0.456310679611651,1.95236375169595,7.5904343413034,1.51406065139424e-12,1.36589900193637e-09,1.14408342454978e-09,"ATAD5/BCL10/C1S/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CD70/CD81/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/EXOSC3/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL2RB/IRF7/KMT5C/MASP2/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SHLD2/SLC15A4/STAT6/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4",94
"GO:0002449","lymphocyte mediated immunity","151/4408","388/18860",0.389175257731959,1.66511918349019,7.31096194949315,3.5809619381881e-12,2.82672182995723e-09,2.36767549202568e-09,"AP1G1/ARG1/ARID5A/ARL8B/ATAD5/B2M/BCL10/C1S/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD2/CD226/CD274/CD28/CD46/CD55/CD70/CD81/CD8A/CD96/CLEC12B/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CYRIB/DENND1B/DUSP22/ERCC1/EXOSC3/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GNL1/GZMB/HLA-DRA/HLA-DRB1/HLA-F/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL18RAP/IL1B/IL2RB/IL7R/IRF7/KLRB1/KLRC3/KLRK1/KMT5C/LYST/MALT1/MAP3K7/MAPK3/MASP2/MICA/MYO1G/NBN/NCKAP1L/NFKBIZ/NKG7/PARP3/PIK3C3/PTPRC/RAB27A/RASGRP1/RFTN1/RNF168/SCART1/SHLD2/SLAMF1/SLAMF6/SLAMF7/SLC15A4/SMAD7/STAT6/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TIGIT/TLR8/TNFSF13/TNFSF4/TRAF2/TRAF6/TRPM4/TUBB4B/UFL1/ULBP2/UNC93B1/USP5",151
"GO:0030217","T cell differentiation","132/4408","330/18860",0.4,1.71143375680581,7.20061971443154,8.78756311321587e-12,6.16594011777313e-09,5.16462042618827e-09,"ADAM17/AP3B1/AP3D1/ARID1B/ARID2/ARMC5/ATF2/ATG5/B2M/BAD/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD2/CD28/CD3D/CD46/CD69/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CTLA4/CTSL/CYLD/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/FOSL2/FOXP1/FZD5/FZD7/FZD8/GATA3/GPR183/GPR65/GPR89A/GPR89B/HLA-DRA/HLA-DRB1/HLX/ICOS/ICOSLG/IFNG/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL6ST/IL7/IL7R/IRF1/IRF4/ITK/ITPKB/JAG2/JAK2/JUNB/KAT2A/KDELR1/LEF1/LFNG/LGALS1/MALT1/MTOR/NCAPH2/NCKAP1L/NFKBIZ/PBRM1/PIK3R2/PIK3R3/PRDM1/PRDX2/PRKDC/PTPN2/PTPRC/RARA/RASGRP1/RC3H1/RC3H2/RHOH/RIPK2/RORA/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF6/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS1/SOS2/SOX12/SOX13/SP3/SPI1/SRF/STAT4/STAT6/STK11/SYK/TBK1/TBX21/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB7B/ZEB1/ZFPM1",132
"GO:0010506","regulation of autophagy","145/4408","377/18860",0.384615384615385,1.64560938154405,6.99311101531277,2.65513260529663e-11,1.67671624024482e-08,1.40442540438058e-08,"ABL2/AKT1/ATF6/ATG14/ATG16L1/ATG2A/ATG5/ATM/ATP5IF1/ATP6V0C/ATP6V0E1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/BAD/BAG3/BCL2/BCL2L1/BNIP3L/BOK/C9orf72/CAMKK2/CAPN1/CAPNS1/CASP3/CDC37/CDK16/CLN3/CSNK1A1/CTTN/CUL1/DAPK3/DCAF12/DDIT3/DDRGK1/DRAM1/DRAM2/EHMT2/EIF4G1/ELAVL1/ENDOG/ERCC4/EXOC1/EXOC4/EXOC7/FBXL4/FBXO7/FBXW7/FKBP8/FLCN/FOXK1/FOXO1/FYCO1/FZD5/GATA4/GFAP/GPR137/GPR137B/GPSM1/GSK3B/HERC1/HIF1A/HSPB1/IFI16/IFNG/IL10RA/IRGQ/ITPR1/KAT8/KEAP1/LAMTOR1/LRRK2/LRSAM1/LYPLA1/LZTS1/MAP3K7/MAPK15/MAPK3/MAPK8/MFSD8/MTCL1/MTMR9/MTOR/NEDD4/NPC1/NRBP2/NUPR1/PHF23/PIK3C3/PIK3CA/PIK3R2/PIK3R4/PIM2/PINK1/PIP4K2A/PIP4K2C/PLEKHF1/PLK2/PYCARD/RAB39B/RAB3GAP2/RASIP1/RB1CC1/RIPK2/RNF31/RNF41/SCFD1/SEC22B/SETD2/SIRT2/SLC7A5/SNRNP70/SNX18/SNX5/SPTLC1/SQSTM1/STK11/SUPT5H/SVIP/SYK/TBC1D14/TBC1D25/TBK1/TMEM59/TP53INP1/TRIM13/TRIM22/TRIM65/TSC2/UBQLN1/UBQLN4/UBR4/UFL1/ULK1/USP33/USP36/USP7/UVRAG/VPS13C/VPS13D/WDR41/WDR6/XBP1/XPA",145
