"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANKRD30BL",17429.7395105736,-10.1169364169051,0.675471202259609,-14.9775984276777,1.0286746134341e-50,2.06053811816985e-46
"MT-ND6",10154.8306682,-11.423047423318,0.81256096340715,-14.058080485949,6.87251070699241e-45,6.88316309858824e-41
"RAB3IL1",984.004181746051,-6.07742994400222,0.435936555375898,-13.9410881447228,3.56463712078532e-44,2.38010820554836e-40
"SLC9A3R2",484.192080344314,-5.61627614599007,0.422921414301256,-13.2797157014837,3.03544423889075e-40,1.52007458873052e-36
"ZNF598",302.502895994609,-4.43628422841855,0.357306693367121,-12.4159001518072,2.14263349831531e-35,8.5838183209508e-32
"SRGN",2014.26506835285,3.26255460228201,0.291700648343684,11.1845983915608,4.8509664275964e-29,1.61949514185306e-25
"ZNF316",1872.34919081454,-5.01283188905207,0.457372270671722,-10.9600695330523,5.94536713150352e-28,1.70130927158781e-24
"FAM156A",1001.68042648993,-4.74609660889649,0.445377422847188,-10.6563475502549,1.62868611471425e-26,4.07802644548015e-23
"DVL2",185.809426767764,-5.03902347703282,0.477888723736807,-10.5443447956475,5.39475635452618e-26,1.20069293930571e-22
"EHBP1L1",4008.22789039512,-2.83884203652371,0.272978956797322,-10.3994903850096,2.49262695003895e-25,4.99298104362302e-22
"CROCC",2764.6803428054,-4.45743421809598,0.434362811164944,-10.2620070215986,1.0451161552994e-24,1.90315651880021e-21
"MCRIP1",502.121473732117,-4.14857064897677,0.4067448338736,-10.1994427549779,1.994133355574e-24,3.32870710379189e-21
"PARP10",741.584682512847,-4.36270223283426,0.435811651930929,-10.0105222370826,1.37027274178638e-23,2.11137948390177e-20
"PTGFR",1219.63585335032,3.59144880891426,0.362738052461019,9.90094307599619,4.12367896502923e-23,5.90010095346432e-20
"NRBP2",665.128819398902,-3.23203810791847,0.327311533313717,-9.87450113718012,5.36994883216454e-23,6.82907982994202e-20
"SPEG",2099.39733074679,-4.7028109168298,0.476333915623787,-9.87292897393459,5.4548089101429e-23,6.82907982994202e-20
