"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"A4GALT",779.469636944757,-2.25003368542419,0.557353768625914,-4.03699375886766,5.41405085821704e-05,0.000661930618874942,"A4GALT"
"AAAS",171.110617707173,-2.12869084586981,0.784070377516331,-2.71492318408046,0.00662911447620896,0.0300668666086294,"AAAS"
"AAK1",2354.48632042862,0.967132841024532,0.285330407869937,3.38951900796141,0.000700153546598257,0.00516858268690589,"AAK1"
"AAMP",386.521868437603,-2.7097756082922,0.612860454573404,-4.42152138887539,9.80083604325952e-06,0.000162849058222126,"AAMP"
"AAR2",470.689687269926,0.929230502599288,0.292308526428523,3.17893738493635,0.00147816018548029,0.00935949061235041,"AAR2"
"AARD",31.8220570423869,-1.53251100710461,0.58328226733189,-2.62739173284794,0.00860422176485452,0.0368469883525417,"AARD"
"AARS2",290.277318550338,-1.22206644709288,0.396365442614183,-3.08318111446064,0.00204800470725546,0.0120921426881749,"AARS2"
"AARSD1",156.568992679972,-2.72264518810469,0.369422032086419,-7.37001302474504,1.70611367245324e-13,2.50128698921703e-11,"AARSD1"
"AASS",1122.95151601852,1.16105319896954,0.378189919091859,3.07002683138027,0.00214039541162779,0.0125043492858032,"AASS"
"ABCA2",760.266976418694,-2.71865482498983,0.509119705966117,-5.33991278108329,9.2991308327241e-08,2.96664591477897e-06,"ABCA2"
"ABCA3",504.955404045461,-2.69977995027637,0.624461084146684,-4.32337581767097,1.53659646670963e-05,0.000233700968342665,"ABCA3"
"ABCA6",2251.26809950074,1.11160192315103,0.432602855992783,2.56956676950274,0.0101825767107341,0.0418786006013741,"ABCA6"
"ABCA7",322.500166551538,-2.54812787103621,0.479524879027876,-5.31385957742575,1.07327337034912e-07,3.38607559040997e-06,"ABCA7"
"ABCB1",125.055990645051,2.15007124376007,0.687824397247536,3.12590139629244,0.00177260976122371,0.0107657831340358,"ABCB1"
"ABCC4",588.77387164738,1.98181154855131,0.444829962614116,4.45521146306078,8.38105446706954e-06,0.000142951107800598,"ABCC4"
"ABCC6",189.180544421849,-1.22244253556171,0.412340860969168,-2.96464078939078,0.00303036544210467,0.0164013182817929,"ABCC6"
"ABCD1",233.209866561523,-4.42922570866131,1.02728571596557,-4.31158113057005,1.62091277987448e-05,0.000243919848437111,"ABCD1"
"ABCD2",211.51336981268,3.01260361867962,0.642794338212459,4.68673017104871,2.77604578171073e-06,5.54625018452207e-05,"ABCD2"
"ABCE1",870.111334307022,1.11065779623687,0.354264006779872,3.13511329116479,0.00171787754508572,0.0104812608235815,"ABCE1"
"ABCF1",620.719747350418,-1.95612809192511,0.466069935131735,-4.19706989117891,2.70390509276029e-05,0.000371080007793679,"ABCF1"
"ABCF3",264.243615807367,-2.14026642939992,0.44594954471126,-4.79934659600491,1.59184108725566e-06,3.42391795456209e-05,"ABCF3"
"ABCG2",52.0600261941308,1.30376195981742,0.46396238750025,2.81005959737785,0.00495323269096954,0.0238527634781827,"ABCG2"
"ABHD13",465.598485705559,1.39020585614913,0.511168255744532,2.7196639081671,0.00653482989378817,0.0296941598113588,"ABHD13"
"ABHD14A",83.5890906743852,-1.58456168659468,0.588398022970492,-2.69300987551779,0.0070810171582325,0.0316552746209129,"ABHD14A"
"ABHD14B",223.488272789303,-2.6502075135042,0.461531974797782,-5.74219698356841,9.34560150921489e-09,4.23504428391445e-07,"ABHD14B"
"ABHD15",243.66506125706,-2.71982859682107,0.814650290197322,-3.33864558762053,0.000841879010762433,0.00596101761207108,"ABHD15"
"ABHD16B",33.9379612385922,-2.50299378556534,0.751043600951868,-3.3326877193189,0.000860114244490797,0.00606000633247421,"ABHD16B"
"ABHD17A",1129.01729736598,-2.83654122433334,0.407113200809418,-6.96745086794965,3.22735104270528e-12,3.4228804489628e-10,"ABHD17A"
"ABHD17C",123.980590615037,2.64449187571356,1.05527622264057,2.50597125091701,0.0122115548405128,0.0479964896441917,"ABHD17C"
"ABHD3",284.836071480353,1.95831437270068,0.531481460788083,3.68463345795144,0.000229031996660455,0.00212008773510344,"ABHD3"
"ABHD5",455.228614427311,2.21217489369866,0.460922667598143,4.79944912500452,1.59102644017882e-06,3.42391795456209e-05,"ABHD5"
"ABI1",1366.06823707636,1.30061113205898,0.320740246366941,4.05502941021945,5.01279953213936e-05,0.000622742740631318,"ABI1"
"ABI3",186.993039406176,-1.56516825133096,0.478153807579084,-3.27335728906037,0.00106278043379786,0.00719795484697539,"ABI3"
"ABL2",1957.97957591421,0.656779474191262,0.2329628518766,2.81924551017755,0.00481366847040247,0.0233588914358181,"ABL2"
"ABR",3452.60749918749,-1.16122655267134,0.307499055038701,-3.77635811767029,0.000159138141427364,0.00158099422118596,"ABR"
